ds,yhat,yhat_lower,yhat_upper
2025-04-05,54017.236565633546,53675.13824794546,54402.666290704445
2025-04-06,53954.16074519049,53590.552258412536,54305.37402117797
2025-04-07,53972.39821422626,53582.822914226796,54353.48613495982
2025-04-08,53992.010497374926,53624.23676540407,54342.200912690496
2025-04-09,54021.17681058619,53646.434478198156,54396.79211846012
2025-04-10,54027.80455536376,53662.87629228779,54430.84731659554
2025-04-11,54031.36925958578,53675.572535132866,54385.05518119676
2025-04-12,54037.92600336168,53658.07648195476,54391.937376551214
2025-04-13,53972.458822720044,53610.99382904925,54308.87187328968
2025-04-14,53987.92448526475,53596.79105510151,54356.778282836705
